source,category,disposition,url,data_exposed,risk_level,opt_out_link,requires_id_or_verification,status,date_checked,notes
LinkedIn,Active social (professional),KEEP,(active account),Professional profile,KEEP,N/A,N/A,KEEP - owner confirmed,2026-07-19,"Owner: fine for work. No action."
WDG team page,First-party / professional,KEEP,https://wdgrep.com/team/darnall-bailey/,"Direct work email; cell phone; bio; photo; title",KEEP,N/A,N/A,KEEP - owner confirmed,2026-07-19,"Owner: fine for work. Optional source-level fix: swap personal cell for an office line - it's the main thing brokers re-scrape. Owner's call; page stays."
Boyd Foundation,Professional / PR,KEEP,https://www.boydfoundationcolumbia.org/about/,"Name; board-member role; affiliation",KEEP,N/A,N/A,KEEP - owner confirmed,2026-07-19,"Owner: fine for work. No action."
ZoomInfo,Data broker,DELETE,https://www.zoominfo.com/ (search name + WDG),"Work email pattern; phone; employer; title",MEDIUM,https://privacy.zoominfo.com/privacy-center,Email verification,QUEUED,2026-07-19,"Confirmed live. Opt out + Do-Not-Sell. Re-indexes from public sources - recheck quarterly."
Instagram,Active social,KEEP,(active account),Curated personal content,KEEP,N/A,N/A,KEEP - owner confirmed,2026-07-19,"Owner: fine. No action."
YouTube,Active social,KEEP,(active account),Uploaded content,KEEP,N/A,N/A,KEEP - owner confirmed,2026-07-19,"Owner: fine. No action."
Who's On The Move,Professional / PR,LIKELY FALSE POSITIVE,https://whosonthemove.com/leadership-series-george-bailey-darnall-w-and-susan-f-boyd-foundation-inc/,"Appears to profile a ""George Bailey"" at the Boyd Foundation - not the subject",NONE (if confirmed),N/A,N/A,VERIFY IN BROWSER,2026-07-19,"Title + URL slug = ""George Bailey"". Subject's name only matched via ""Darnall W. Boyd"" foundation name + surname ""Bailey"". Site blocks automated fetch. 10-sec browser check: if ""Darnall Bailey"" is not named, DROP this row entirely. If he IS named, request removal via site contact (editorial - may decline)."
Flickr,Personal content,DELETE,https://www.flickr.com/people/77733712@N06/,"527 public photos; ""Morocco to China"" bio; joined 2012",MEDIUM,Account settings (Privacy) / delete account,Login required (owner),OWNER ACTION,2026-07-19,"Confirmed live. Privatize or delete. Not touched."
Zola wedding site,Personal content,DELETE,https://www.zola.com/wedding/savannah-darnall,"Both full names (Savannah Cernosek + Darnall Bailey); wedding date (Aug 28 2021); locations (Columbia SC + Turks & Caicos)",MEDIUM,Log in at zola.com > set Not Visible; email Zola from account email to request deletion,Login required (owner),OWNER ACTION,2026-07-19,"Confirmed live, exact URL pinned. Set private now (up to 30 days to leave Google), then email for permanent deletion. Registry is separate - cancel under Registry section. Not touched."
PeopleConnect (Intelius/TruthFinder/Instant Checkmate/USSearch),Data broker,DELETE,https://www.intelius.com/ etc (search name),"Name; age/DOB; addresses; phones; relatives",UNKNOWN - PENDING,https://suppression.peopleconnect.us/,Email + DOB verification,TO CHECK (browser),2026-07-19,"ONE suppression removes all 4 sites. No confirmation email - recheck after 48h. Do this first."
Spokeo,Data broker,DELETE,https://www.spokeo.com/ (search name + city),"Name; age; relatives; address history; phone; email",UNKNOWN - PENDING,https://www.spokeo.com/optout,Email verification,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Confirm record is subject (name collides w/ Ashley Darnall). Paste profile URL + email, click confirm link."
Whitepages,Data broker,DELETE,https://www.whitepages.com/ (search name + city),"Name; age; current + prior addresses; phone; relatives",UNKNOWN - PENDING,https://www.whitepages.com/suppression-requests,Phone call verification (automated code),TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Submit suppression, verify via automated phone call with code."
BeenVerified,Data broker,DELETE,https://www.beenverified.com/ (search name + city),"Name; age; addresses; phones; emails; relatives",UNKNOWN - PENDING,https://www.beenverified.com/app/optout/search,Email verification,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Search record, select, verify via email link."
Radaris,Data broker,DELETE,https://radaris.com/ (search name + state),"Name; age; addresses; phones; relatives; associates",UNKNOWN - PENDING,https://radaris.com/control-privacy,Email verification,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Free self-removal (no account). Verify via email. ~24h to reflect."
TruePeopleSearch,Data broker,DELETE,https://www.truepeoplesearch.com/ (search name + city),"Name; age; current + prior addresses; phones; relatives",UNKNOWN - PENDING,https://www.truepeoplesearch.com/removal,Email/code verification,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Free. Locate record, submit removal, confirm code."
FastPeopleSearch,Data broker,DELETE,https://www.fastpeoplesearch.com/ (search name + city),"Name; age; addresses; phones; relatives; email",UNKNOWN - PENDING,https://www.fastpeoplesearch.com/removal,Phone/email verification,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Same operator as TruePeopleSearch - do both back to back."
PeopleFinders,Data broker,DELETE,https://www.peoplefinders.com/ (search name + city),"Name; age; addresses; phones; relatives",UNKNOWN - PENDING,https://www.peoplefinders.com/opt-out,Email verification,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Intelius-powered; confirm gone after PeopleConnect suppression too."
MyLife,Data broker,DELETE,https://www.mylife.com/ (search name),"Name; age; ""Reputation Score""; addresses; phones; relatives; possible court/financial flags",UNKNOWN - PENDING,Email privacy@mylife.com (also membersupport@ / customercare@); phone 1-888-704-1900,Email or phone request,TO CHECK (browser + email),2026-07-19,"Bot-blocked from sandbox. Slowest (3-14 business days). Send full name + address + profile link. Decline paid-membership upsell."
ThatsThem,Data broker,DELETE,https://thatsthem.com/ (search name + city),"Name; addresses; phones; email; IP; sometimes vehicle/financial fields",UNKNOWN - PENDING,https://thatsthem.com/optout,Search + submit,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Find listing, submit opt-out. 3-7 days."
Nuwber,Data broker,DELETE,https://nuwber.com/ (search name + city + state),"Name; age; addresses; phones; relatives",UNKNOWN - PENDING,https://nuwber.com/removal,Email verification,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Remove My Info, paste URL, confirm via email. ~72h."
ClustrMaps,Data broker,DELETE,https://clustrmaps.com/ (search name / address),"Name; current + prior addresses; relatives; phone",UNKNOWN - PENDING,https://clustrmaps.com/bl/opt-out,Email + listing URL,TO CHECK (browser),2026-07-19,"Bot-blocked from sandbox. Enter name/email/listing URL/address, check boxes, apply. ~immediate."
Username sweep,Residue check,DONE,"Handles: uscdarnallb, dbaileylax, dbaileylax21, bigbruiserdb86","No public/indexed residue for any handle",NONE,N/A,N/A,CLEAN - no action,2026-07-19,"Searched each handle across web/social/forums. Nothing indexed. bigbruiserdb86 is unique enough that absence = genuinely clean. Only 'dbailey' Myspace hit is a different person (Danielle Bailey)."
Facebook (archive residue),Archive,BROWSER CHECK,http://web.archive.org/web/*/facebook.com/dbaileylax (also /dbaileylax21),"Old college-era posts/photos IF archived",LOW - likely none,N/A (Wayback removal: contact info@archive.org),Browser required,MANUAL CHECK,2026-07-19,"Account deleted; name + handle searches clean. web.archive.org hard-blocked from sandbox. Visit the CDX/URL in a browser: web.archive.org/web/*/facebook.com/dbaileylax and /dbaileylax21. Likely no snapshot."
